,Date,monthly_cases,UNRATE,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Face_Masks_Required_in_Public
0,2020-02-01,0.0,3.5,0.0,0.0,0.0,0.0,0
1,2020-03-01,0.0,4.4,276185.0,144697.0,12236594.0,1.18,0
2,2020-03-01,0.0,4.4,155426.0,126427.0,12236594.0,1.03,0
3,2020-03-01,0.0,4.4,16176.0,127905.0,12236594.0,1.05,0
4,2020-03-01,0.0,4.4,14355.0,125252.0,12236594.0,1.02,0
5,2020-04-01,1231.0,14.7,254084.0,962122.0,12304547.0,7.82,0
6,2020-04-01,1231.0,14.7,280761.0,911923.0,12304547.0,7.41,0
7,2020-04-01,1231.0,14.7,274257.0,632470.0,12304547.0,5.14,0
8,2020-04-01,1231.0,14.7,315167.0,374656.0,12236594.0,3.06,0
9,2020-05-01,7257.0,13.2,106677.0,1401773.0,12304547.0,11.39,Unknown
10,2020-05-01,7257.0,13.2,127717.0,1272557.0,12304547.0,10.34,Unknown
11,2020-05-01,7257.0,13.2,134065.0,1300576.0,12304547.0,10.57,Unknown
12,2020-05-01,7257.0,13.2,141553.0,1181609.0,12304547.0,9.6,Unknown
13,2020-05-01,7257.0,13.2,243935.0,1133324.0,12304547.0,9.21,Unknown
14,2020-06-01,12524.0,11.0,96593.0,1301714.0,12304547.0,10.58,Unknown
15,2020-06-01,12524.0,11.0,89547.0,1221813.0,12304547.0,9.93,Unknown
16,2020-06-01,12524.0,11.0,94723.0,1297296.0,12304547.0,10.54,Unknown
17,2020-06-01,12524.0,11.0,89676.0,1215507.0,12304547.0,9.88,Unknown
18,2020-07-01,31516.0,10.2,76804.0,1338900.0,12372188.0,10.82,Unknown
19,2020-07-01,31516.0,10.2,87908.0,1247269.0,12372188.0,10.08,Unknown
20,2020-07-01,31516.0,10.2,105516.0,1313086.0,12372188.0,10.61,Unknown
21,2020-07-01,31516.0,10.2,117099.0,1237931.0,12304547.0,10.06,Unknown
22,2020-08-01,52737.0,8.4,56673.0,1017360.0,12372188.0,8.22,Yes
23,2020-08-01,52737.0,8.4,52152.0,1091961.0,12372188.0,8.83,Yes
24,2020-08-01,52737.0,8.4,61400.0,1101708.0,12372188.0,8.9,Yes
25,2020-08-01,52737.0,8.4,52304.0,1221540.0,12372188.0,9.87,Yes
26,2020-08-01,52737.0,8.4,62709.0,1228250.0,12372188.0,9.93,Yes
27,2020-09-01,40706.0,7.9,41351.0,902269.0,12372188.0,7.29,Yes
28,2020-09-01,40706.0,7.9,48426.0,953168.0,12372188.0,7.7,Yes
29,2020-09-01,40706.0,7.9,49386.0,976588.0,12372188.0,7.89,Yes
30,2020-09-01,40706.0,7.9,65291.0,1043117.0,12372188.0,8.43,Yes
31,2020-10-01,37551.0,6.9,0.0,0.0,0.0,0.0,Yes
32,2020-11-01,20844.0,6.7,0.0,0.0,0.0,0.0,Yes
33,2020-12-01,37246.0,6.7,0.0,0.0,0.0,0.0,Yes
34,2021-01-01,65010.0,6.4,0.0,0.0,0.0,0.0,Yes
35,2021-02-01,79927.0,6.2,0.0,0.0,0.0,0.0,Yes
36,2021-03-01,32547.0,6.0,87313.0,320564.0,12180973.0,2.63,Yes
37,2021-03-01,32547.0,6.0,81457.0,296868.0,12180973.0,2.44,Yes
38,2021-03-01,32547.0,6.0,73858.0,359539.0,12180973.0,2.95,Yes
39,2021-03-01,32547.0,6.0,49366.0,315582.0,12180973.0,2.59,Yes
40,2021-04-01,26670.0,6.0,33843.0,270498.0,11994349.0,2.26,No
41,2021-04-01,26670.0,6.0,46516.0,283654.0,11994349.0,2.36,No
42,2021-04-01,26670.0,6.0,66552.0,277388.0,11994349.0,2.31,No
43,2021-04-01,26670.0,6.0,83988.0,299526.0,12180973.0,2.46,No
44,2021-05-01,15329.0,5.8,21927.0,206486.0,11994349.0,1.72,No
45,2021-05-01,15329.0,5.8,25041.0,215765.0,11994349.0,1.8,No
46,2021-05-01,15329.0,5.8,27568.0,228786.0,11994349.0,1.91,No
47,2021-05-01,15329.0,5.8,31342.0,252080.0,11994349.0,2.1,No
48,2021-05-01,15329.0,5.8,30225.0,249368.0,11994349.0,2.08,No
49,2021-06-01,8236.0,5.9,19571.0,197679.0,11994349.0,1.65,No
50,2021-06-01,8236.0,5.9,23569.0,195891.0,11994349.0,1.63,No
51,2021-06-01,8236.0,5.9,21755.0,196601.0,11994349.0,1.64,No
52,2021-06-01,8236.0,5.9,18628.0,187438.0,11994349.0,1.56,No
53,2021-07-01,2583.0,5.4,30138.0,210422.0,11848728.0,1.78,No
54,2021-07-01,2583.0,5.4,33883.0,194094.0,11848728.0,1.64,No
55,2021-07-01,2583.0,5.4,45037.0,199928.0,11848728.0,1.69,No
56,2021-07-01,2583.0,5.4,34307.0,157043.0,11848728.0,1.33,No
57,2021-07-01,2583.0,5.4,24216.0,213690.0,11994349.0,1.78,No
58,2021-08-01,20760.0,5.2,19274.0,166925.0,0.0,0.0,No
59,2021-08-01,20760.0,5.2,20335.0,179271.0,0.0,0.0,No
60,2021-08-01,20760.0,5.2,23375.0,191169.0,11848728.0,1.61,No
61,2021-08-01,20760.0,5.2,31042.0,190232.0,11848728.0,1.61,No
62,2021-09-01,73298.0,4.7,0.0,0.0,0.0,0.0,0
63,2021-10-01,58586.0,4.6,0.0,0.0,0.0,0.0,0
64,2021-11-01,20311.0,4.2,0.0,0.0,0.0,0.0,0
65,2021-12-01,9834.0,3.9,0.0,0.0,0.0,0.0,0
66,2022-01-01,78502.0,4.0,0.0,0.0,0.0,0.0,0
67,2022-02-01,224014.0,3.8,0.0,0.0,0.0,0.0,0
68,2022-03-01,35550.0,3.6,0.0,0.0,0.0,0.0,0
69,2022-04-01,23440.0,3.6,0.0,0.0,0.0,0.0,0
70,2022-05-01,9102.0,3.6,0.0,0.0,0.0,0.0,0
71,2022-06-01,23778.0,3.6,0.0,0.0,0.0,0.0,0
72,2022-07-01,48722.0,3.5,0.0,0.0,0.0,0.0,0
73,2022-08-01,59642.0,3.7,0.0,0.0,0.0,0.0,0
74,2022-09-01,39328.0,3.5,0.0,0.0,0.0,0.0,0
75,2022-10-01,17889.0,3.7,0.0,0.0,0.0,0.0,0
